Dates,Song,Artist
2010-11-27,Down On Me,Jeremih Feat. 50 Cent
2010-11-27,Hello World,Lady Antebellum
2010-11-27,What If,Jason Derulo
2010-11-27,Cannibal,Ke$ha
2010-11-27,Scott Mescudi Vs. The World,Kid Cudi Feat. Cee-Lo
2010-11-27,Make A Movie,Twista Feat. Chris Brown
2010-12-04,Forget You,Glee Cast Feat. Gwyneth Paltrow
2010-12-04,Singing In The Rain / Umbrella,Glee Cast Feat. Gwyneth Paltrow
2010-12-04,Kush,Dr. Dre Feat. Snoop Dogg & Akon
2010-12-04,S&M,Rihanna Feat. Britney Spears
2010-12-04,Liv Tonight,Nelly Feat. Keri Hilson
2010-12-04,Hold My Hand,Michael Jackson Duet With Akon
2010-12-04,Marry Me,Train
2010-12-04,Blow,Ke$ha
2010-12-04,Turn Around (5 4 3 2 1),Flo Rida
2010-12-11,Tonight (I'm Lovin' You),Enrique Iglesias Feat. Ludacris & DJ Frank E
2010-12-11,Marry You,Glee Cast
2010-12-11,Just The Way You Are,Glee Cast
2010-12-11,Dark Fantasy,"Kanye West Feat. Teyana Taylor, Nicki Minaj & Bon Iver"
2010-12-11,Coming Home,Diddy - Dirty Money Feat. Skylar Grey
2010-12-11,Show Me How You Burlesque,Christina Aguilera
2010-12-11,Pretty Girl Rock,Keri Hilson
2010-12-11,Who's That Chick?,David Guetta Feat. Rihanna
2010-12-11,Fly,Nicki Minaj Feat. Rihanna
2010-12-11,Marry You,Bruno Mars
2010-12-11,All Of The Lights,Kanye West
2010-12-11,Crazy Beautiful Life,Ke$ha
2010-12-11,Let Me Down Easy,Billy Currington
2010-12-11,Maybe,Sick Puppies
2010-12-18,Dog Days Are Over,Glee Cast
2010-12-18,Christmas Lights,Coldplay
2010-12-18,"Hey, Soul Sister",Glee Cast
2010-12-18,(I've Had) The Time Of My Life,Glee Cast
2010-12-18,Valerie,Glee Cast
2010-12-18,Who Dat Girl,Flo Rida Feat. Akon
2010-12-18,Freak The Freak Out,Victorious Cast Feat. Victoria Justice
2010-12-18,Boots,The Killers
2010-12-18,Fire Flame,Birdman Feat. Lil Wayne
2010-12-18,Rocketeer,Far*East Movement Feat. Ryan Tedder
2010-12-18,Don't Cry For Me Argentina (Lea Michele Version),Glee Cast
2010-12-25,That's All She Wrote,T.I. Feat. Eminem
2010-12-25,"Baby, It's Cold Outside",Glee Cast
2010-12-25,Welcome Christmas,Glee Cast
2010-12-25,Rolling In The Deep,Adele
2010-12-25,No BS,Chris Brown
2010-12-25,Bass Down Low,Dev Feat. The Cataracs
2010-12-25,Fall For Your Type,Jamie Foxx Feat. Drake
2011-01-01,6 Foot 7 Foot,Lil Wayne Feat. Cory Gunz
2011-01-01,Higher,Taio Cruz Feat. Travie McCoy
2011-01-01,Moment 4 Life,Nicki Minaj Feat. Drake
2011-01-01,F**kin' Perfect,P!nk
2011-01-01,What Do You Want,Jerrod Niemann
2011-01-01,Are You Gonna Kiss Me Or Not,Thompson Square
2011-01-01,When A Woman Loves,R. Kelly
2011-01-01,You Be Killin Em,Fabolous
2011-01-01,For The First Time,The Script
2011-01-01,Oh Santa!,Mariah Carey
2011-01-08,I Just Had Sex,The Lonely Island Feat. Akon
2011-01-08,This Is Country Music,Brad Paisley
2011-01-08,Hit It Again,3OH!3
2011-01-08,Do The John Wall,Troop 41
2011-01-08,I Am The Champion,B.o.B
2011-01-08,Pursuit Of Happiness (Nightmare),Kid Cudi Feat. MGMT & Ratatat
2011-01-08,Shake Up Christmas,Train
2011-01-15,Big Night,Big Time Rush
2011-01-15,A Little Bit Stronger,Sara Evans
2011-01-22,Country Strong,Gwyneth Paltrow
2011-01-22,From A Table Away,Sunny Sweeney
2011-01-22,Make It Rain,Travis Porter
2011-01-29,Hold It Against Me,Britney Spears
2011-01-29,What The Hell,Avril Lavigne
2011-01-29,H*A*M,Kanye West Jay Z
2011-01-29,Shake Me Down,Cage The Elephant
2011-01-29,Give In To Me,Garrett Hedlund & Leighton Meester
2011-01-29,Buzzin',Mann
2011-01-29,Wildflower,The JaneDear Girls
2011-02-05,Colder Weather,Zac Brown Band
2011-02-05,Stay The Night,James Blunt
2011-02-05,"For You, And Your Denial      ",Yellowcard
2011-02-12,Party Rock Anthem,LMFAO Feat. Lauren Bennett & GoonRock
2011-02-12,Help Is On The Way,Rise Against
2011-02-12,Boyfriend,New Hollow
2011-02-12,Love Faces,Trey Songz
2011-02-19,I Need A Doctor,Dr. Dre Feat. Eminem & Skylar Grey
2011-02-19,Look At Me Now,Chris Brown Feat. Lil Wayne & Busta Rhymes
2011-02-19,Need You Now,Glee Cast
2011-02-19,Thriller / Heads Will Roll,Glee Cast
2011-02-19,"Bills, Bills, Bills",Glee Cast
2011-02-19,When You're Young,3 Doors Down
2011-02-19,The Creep,The Lonely Island Feat. Nicki Minaj
2011-02-19,Price Tag,Jessie J Feat. B.o.B
2011-02-19,The Ballad Of Mona Lisa,Panic! At The Disco
2011-02-19,The Cave,Mumford & Sons
2011-02-26,Born This Way,Lady Gaga
2011-02-26,Hit The Lights,Jay Sean Feat. Lil Wayne
2011-02-26,I Do,Colbie Caillat
2011-02-26,Firework,Glee Cast
2011-02-26,Silly Love Songs,Glee Cast
2011-02-26,When I Get You Alone,Glee Cast
2011-02-26,Roll Up,Wiz Khalifa
2011-02-26,Fat Bottomed Girls,Glee Cast
2011-02-26,P.Y.T. (Pretty Young Thing),Glee Cast
2011-02-26,I Won't Give Up,Jana Kramer
2011-02-26,She's Not There,Glee Cast
2011-02-26,Words I Never Said,Lupe Fiasco Feat. Skylar Grey
2011-02-26,Pray,Justin Bieber
2011-02-26,Sing,My Chemical Romance
2011-02-26,Heart Like Mine,Miranda Lambert
2011-02-26,Bleed Red,Ronnie Dunn
2011-03-05,Backseat,New Boyz Feat. The Cataracs & Dev
2011-03-05,Baby,Glee Cast
2011-03-05,Sing,Glee Cast
2011-03-05,Take Me Or Leave Me,Glee Cast
2011-03-05,Somebody To Love,Glee Cast
2011-03-05,Born To Be Somebody,Justin Bieber
2011-03-05,Tomorrow,Chris Young
2011-03-05,Written In The Stars,Tinie Tempah Feat. Eric Turner
2011-03-05,Just Can't Get Enough,The Black Eyed Peas
2011-03-12,On The Floor,Jennifer Lopez Feat. Pitbull
2011-03-12,Don't You Want Me,Glee Cast
2011-03-12,On My Level,Wiz Khalifa Feat. Too $hort
2011-03-12,Blame It (On The Alcohol),Glee Cast
2011-03-12,Tik Tok,Glee Cast
2011-03-12,Someone Like You,Adele
2011-03-12,Boyfriend,Big Time Rush
2011-03-12,Bow Chicka Wow Wow,Mike Posner Feat. Lil Wayne
2011-03-12,Set Fire To The Rain,Adele
2011-03-12,Welcome To My Hood,"DJ Khaled Feat. Rick Ross, Plies, Lil Wayne & T-Pain"
2011-03-12,I Smile,Kirk Franklin
2011-03-12,The Shape I'm In,Joe Nichols
2011-03-12,Country Boy,Aaron Lewis Feat. George Jones & Charlie Daniels
2011-03-19,Till The World Ends,Britney Spears Feat. Nicki Minaj & Ke$ha
2011-03-19,Rope,Foo Fighters
2011-03-19,Twisted,Gorilla Zoe Feat. Lil Jon
2011-03-19,You Lie,The Band Perry
2011-03-19,What Are Words,Chris Medina
2011-03-19,My Last,Big Sean Feat. Chris Brown
2011-03-19,Did It On'em,Nicki Minaj
2011-03-19,Walking,Mary Mary
2011-03-19,21st Century Girl,WILLOW
2011-03-26,Landslide,Glee Cast Feat. Gwyneth Paltrow
2011-03-26,Do You Wanna Touch Me (Oh Yeah),Glee Cast Feat. Gwyneth Paltrow
2011-03-26,Crazy Girl,Eli Young Band
2011-03-26,Animal,Glee Cast
2011-03-26,The Race,Wiz Khalifa
2011-03-26,Beautiful Lasers (2 Ways),Lupe Fiasco Feat. MDMA
2011-03-26,Country Song,Seether
2011-03-26,Boom,Snoop Dogg Feat. T-Pain
2011-03-26,Kiss,Glee Cast
2011-03-26,Homeboy,Eric Church
2011-03-26,Live A Little,Kenny Chesney
2011-03-26,Sure Thing,Miguel
2011-03-26,Without You,Keith Urban
2011-03-26,Where You At,Jennifer Hudson
2011-03-26,I Can't Love You Back,Easton Corbin
2011-03-26,Wish You Were Here,Avril Lavigne
2011-04-02,Loser Like Me,Glee Cast
2011-04-02,Get It Right,Glee Cast
2011-04-02,Who Says,Selena Gomez & The Scene
2011-04-02,Raise Your Glass,Glee Cast
2011-04-02,Blackbird,Glee Cast
2011-04-02,Misery,Glee Cast
2011-04-02,Hell To The No,Glee Cast
2011-04-02,Candles,Glee Cast
2011-04-02,Friday,Rebecca Black
2011-04-02,Bring It Back,Travis Porter
2011-04-02,Far Away,Marsha Ambrosius
2011-04-02,Grove St. Party,Waka Flocka Flame Feat. Kebo Gotti
2011-04-02,Arms,Christina Perri
2011-04-02,Dancing Crazy,Miranda Cosgrove
2011-04-09,No Sleep,Wiz Khalifa
2011-04-09,Next To You,Chris Brown Feat. Justin Bieber
2011-04-09,Best Love Song,T-Pain Feat. Chris Brown
2011-04-09,John,Lil Wayne Feat. Rick Ross
2011-04-09,If Heaven Wasn't So Far Away,Justin Moore
2011-04-09,Family Man,Craig Campbell
2011-04-09,Georgia Clay,Josh Kelley
2011-04-09,F**k Him He's A DJ,Ke$ha
2011-04-16,When I'm Gone,Wiz Khalifa
2011-04-16,Give Me Everything,"Pitbull Feat. Ne-Yo, Afrojack & Nayer"
2011-04-16,The Story,Sara Ramirez
2011-04-16,I Wanna Go,Britney Spears
2011-04-16,Beggin' On Your Knees,Victorious Cast Feat. Victoria Justice
2011-04-16,Racks,YC Feat. Future
2011-04-23,Honey Bee,Blake Shelton
2011-04-23,Dirt Road Anthem,Jason Aldean
2011-04-23,Hustle Hard,Ace Hood
2011-04-23,Hello,Martin Solveig & Dragonette
2011-04-23,Old Alabama,Brad Paisley Feat. Alabama
2011-04-23,Good Life,OneRepublic
2011-04-23,Somewhere Else,Toby Keith
2011-04-30,Judas,Lady Gaga
2011-04-30,Motivation,Kelly Rowland Feat. Lil Wayne
2011-04-30,Red Nation,Game Feat. Lil Wayne
2011-04-30,She Ain't You,Chris Brown
2011-04-30,Tonight Tonight,Hot Chelle Rae
2011-04-30,Determinate,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko"
2011-04-30,Barefoot Blue Jean Night,Jake Owen
2011-05-07,Country Girl (Shake It For Me),Luke Bryan
2011-05-07,Run The World (Girls),Beyonce
2011-05-07,Turning Tables,Adele
2011-05-07,Turning Tables,Glee Cast Feat. Gwyneth Paltrow
2011-05-07,All By Myself,Glee Cast
2011-05-07,Breakthrough,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko"
2011-05-07,Somebody,Bridgit Mendler
2011-05-07,Papi,Jennifer Lopez
2011-05-14,I Feel Pretty / Unpretty,Glee Cast
2011-05-14,Somewhere Only We Know,Glee Cast
2011-05-14,Born This Way,Glee Cast
2011-05-14,Time After Time,Javier Colon
2011-05-14,As If We Never Said Goodbye,Glee Cast
2011-05-14,Barbra Streisand,Duck Sauce
2011-05-14,Pumped Up Kicks,Foster The People
2011-05-14,Super Bass,Nicki Minaj
2011-05-14,Whiskey,Jana Kramer
2011-05-14,Never Gonna Leave This Bed,Maroon 5
2011-05-21,Just A Kiss,Lady Antebellum
2011-05-21,Where Them Girls At,David Guetta Feat. Flo Rida & Nicki Minaj
2011-05-21,Fast Lane,Bad Meets Evil
2011-05-21,Go Your Own Way,Glee Cast
2011-05-21,Better With The Lights Off,New Boyz Feat. Chris Brown
2011-05-21,Songbird,Glee Cast
2011-05-21,Not Ready To Die,Avenged Sevenfold
2011-05-21,I'm Into You,Jennifer Lopez Feat. Lil Wayne
2011-05-21,Don't Stop,Glee Cast
2011-05-21,Never Going Back Again,Glee Cast
2011-05-21,Danza Kuduro,Don Omar & Lucenzo
2011-05-21,Am I The Only One,Dierks Bentley
2011-05-21,Dreams,Glee Cast Feat. Kristin Chenoweth
2011-05-21,Closer To The Edge,Thirty Seconds To Mars
2011-05-28,The Edge Of Glory,Lady Gaga
2011-05-28,Dirty Dancer,Enrique Iglesias With Usher Feat. Lil Wayne
2011-05-28,Rolling In The Deep,Glee Cast Feat. Jonathan Groff
2011-05-28,Friday,Glee Cast
2011-05-28,(It) Feels So Good,Steven Tyler
2011-05-28,Jar Of Hearts,Glee Cast
2011-05-28,9 Piece,Rick Ross Feat. Lil Wayne Or T.I.
2011-05-28,Isn't She Lovely,Glee Cast
2011-05-28,Jack Sparrow,The Lonely Island Feat. Michael Bolton
2011-05-28,I'm Not Gonna Teach Your Boyfriend To Dance With You,Glee Cast
2011-05-28,Knee Deep,Zac Brown Band Feat. Jimmy Buffett
2011-05-28,Dancing Queen,Glee Cast
2011-05-28,I Am Woman,Jordin Sparks
2011-06-04,Hair,Lady Gaga
2011-06-04,Ballin',Young Jeezy Feat. Lil Wayne
2011-06-04,Pure Imagination,Glee Cast
2011-06-04,Right There,Nicole Scherzinger Feat. 50 Cent
2011-06-04,I'm On One,"DJ Khaled Feat. Drake, Rick Ross & Lil Wayne"
2011-06-04,California King Bed,Rihanna
2011-06-04,Back To Black,Glee Cast
2011-06-04,Don't Wanna Go Home,Jason Derulo
2011-06-04,My Man,Glee Cast
2011-06-04,Look It Up,Ashton Shepherd
2011-06-11,I Love You This Big,Scotty McCreery
2011-06-11,Like My Mother Does,Lauren Alaina
2011-06-11,Light Up The World,Glee Cast
2011-06-11,You And I,Lady Gaga
2011-06-11,Pretending,Glee Cast
2011-06-11,1+1,Beyonce
2011-06-11,For Good,Glee Cast
2011-06-11,How To Love,Lil Wayne
2011-06-11,Rise Above 1,Reeve Carney Feat. Bono & The Edge
2011-06-11,Marry The Night,Lady Gaga
2011-06-11,Donald Trump,Mac Miller
2011-06-11,"I Love New York / New York, New York",Glee Cast
2011-06-11,You And Tequila,Kenny Chesney Feat. Grace Potter
2011-06-11,As Long As You're There,Glee Cast
2011-06-11,Man Down,Rihanna
2011-06-11,Out Of My Head,Lupe Fiasco Feat. Trey Songz
2011-06-18,Every Teardrop Is A Waterfall,Coldplay
2011-06-18,International Love,Pitbull Feat. Chris Brown
2011-06-18,Best Thing I Never Had,Beyonce
2011-06-18,Iridescent,Linkin Park
2011-06-18,Unusual,Trey Songz Feat. Drake
2011-06-18,Take A Back Road,Rodney Atkins
2011-06-18,Best Friend's Brother,Victorious Cast Feat. Victoria Justice
2011-06-18,Keep Your Head Up,Andy Grammer
2011-06-18,Cat Daddy,Rej3ctz
2011-06-18,Just Fishin',Trace Adkins
2011-06-25,Monster,Paramore
2011-06-25,Remind Me,Brad Paisley Duet With Carrie Underwood
2011-06-25,Pause,Pitbull
2011-06-25,Heartless,Dia Frampton
2011-06-25,Bang Bang Bang,Selena Gomez & The Scene
2011-06-25,Made In America,Toby Keith
2011-06-25,Not Over You,Gavin DeGraw
2011-06-25,You,Romeo Santos
2011-06-25,Teenage Daughters,Martina McBride
2011-07-02,Lighters,Bad Meets Evil Feat. Bruno Mars
2011-07-02,Angel,Javier Colon
2011-07-02,Today Is Your Day,Shania Twain
2011-07-02,Rain Over Me,Pitbull Feat. Marc Anthony
2011-07-02,Jolene,Vicci Martinez
2011-07-02,Stereo Hearts,Gym Class Heroes Feat. Adam Levine
2011-07-02,Black Horse And The Cherry Tree,Casey Weston
2011-07-02,See No More,Joe Jonas
2011-07-02,Take Over Control,Afrojack Feat. Eva Simons
2011-07-02,Love Done Gone,Billy Currington
2011-07-02,Price Tag,Xenia
2011-07-09,Moves Like Jagger,Maroon 5 Feat. Christina Aguilera
2011-07-09,Fix You,Javier Colon
2011-07-09,Losing My Religion,Dia Frampton
2011-07-09,Dog Days Are Over,Vicci Martinez
2011-07-09,Shake Senora,Pitbull Feat. T-Pain & Sean Paul
2011-07-09,Love You Like A Love Song,Selena Gomez & The Scene
2011-07-09,The Man Who Can't Be Moved,Xenia
2011-07-09,Watch Me,Bella Thorne & Zendaya
2011-07-09,So In Love,Jill Scott Feat. Anthony Hamilton
2011-07-09,"Save Me, San Francisco",Train
2011-07-09,Country Must Be Country Wide,Brantley Gilbert
2011-07-16,Stitch By Stitch,Javier Colon
2011-07-16,Inventing Shadows,Dia Frampton
2011-07-16,Man In The Mirror,Adam Levine & Javier Colon
2011-07-16,I Won't Back Down,Blake Shelton & Dia Frampton
2011-07-16,Here For A Good Time,George Strait
2011-07-16,Little Bad Girl,David Guetta Feat. Taio Cruz & Ludacris
2011-07-16,Beautiful,Christina Aguilera & Beverly McClellan
2011-07-16,Afraid To Sleep,Vicci Martinez
2011-07-16,Moving To Mars,Coldplay
2011-07-16,Major Minus,Coldplay
2011-07-16,Pretty Girls,Iyaz Feat. Travie McCoy
2011-07-16,High,Big Sean Feat. Wiz Khalifa
2011-07-23,Novacane,Frank Ocean
2011-07-23,Work Out,J. Cole
2011-07-23,I Wouldn't Be A Man,Josh Turner
2011-07-23,Smile,Avril Lavigne
2011-07-23,Taboo,Don Omar
2011-07-23,Walk,Foo Fighters
2011-07-30,Skyscraper,Demi Lovato
2011-07-30,Booty Wurk (One Cheek At A Time),T-Pain Feat. Joey Galaxy
2011-07-30,God Gave Me You,Blake Shelton
2011-07-30,You Make Me Feel...,Cobra Starship Feat. Sabi
2011-07-30,What If,Colbie Caillat
2011-07-30,Up All Night,Blink-182
2011-07-30,Long Hot Summer,Keith Urban
2011-07-30,Mr. Saxobeat,Alexandra Stan
2011-08-06,The Adventures Of Rain Dance Maggie,Red Hot Chili Peppers
2011-08-06,Otis,Jay Z Kanye West Feat. Otis Redding
2011-08-06,Marvins Room,Drake
2011-08-06,Outlaw,50 Cent
2011-08-06,Marvin & Chardonnay,Big Sean Feat. Kanye West & Roscoe Dash
2011-08-06,Quickie,Miguel
2011-08-06,Oh My,"DJ Drama Feat. Fabolous, Roscoe Dash & Wiz Khalifa"
2011-08-13,Gucci Gucci,Kreayshawn
2011-08-13,Easy,Rascal Flatts Feat. Natasha Bedingfield
2011-08-13,Cheers (Drink To That),Rihanna
2011-08-13,Don't Stop The Party,The Black Eyed Peas
2011-08-13,Rumour Has It,Adele
2011-08-13,Fish,Craig Campbell
2011-08-13,Faster,Matt Nathanson
2011-08-13,One More Drinkin' Song,Jerrod Niemann
2011-08-20,Under And Over It,Five Finger Death Punch
2011-08-20,Lights,Ellie Goulding
2011-08-20,Ships In The Night,Mat Kearney
2011-08-20,In The Dark,Dev
2011-08-20,Till I'm Gone,Tinie Tempah Feat. Wiz Khalifa
2011-08-20,Far Away,Tyga Feat. Chris Richardson
2011-08-27,Headlines,Drake
2011-08-27,It Girl,Jason Derulo
2011-08-27,Who Gon Stop Me,Jay Z Kanye West
2011-08-27,Titanium,David Guetta Feat. Sia
2011-08-27,Baggage Claim,Miranda Lambert
2011-08-27,What You Want,Evanescence
2011-08-27,Ni**as in Paris,Jay Z Kanye West
2011-08-27,We Don't Get Down Like Y'all,T.I. Feat. B.o.B.
2011-08-27,Drunk On You,Luke Bryan
2011-08-27,Nothing,The Script
2011-08-27,Mrs. Right,Mindless Behavior Feat. Diggy
2011-09-03,She Will,Lil Wayne Feat. Drake
2011-09-03,We Owned The Night,Lady Antebellum
2011-09-03,Frick Park Market             ,Mac Miller
2011-09-03,Don't Hold Your Breath,Nicole Scherzinger
2011-09-03,Sail,AWOLNATION
2011-09-03,Brighter Than The Sun,Colbie Caillat
2011-09-03,I Got You,Thompson Square
2011-09-10,Hell On Heels,Pistol Annies
2011-09-10,I'm Gonna Love You Through It,Martina McBride
2011-09-10,Night Of Your Life,David Guetta Feat. Jennifer Hudson
2011-09-10,Love Don't Run,Steve Holy
2011-09-10,What The Water Gave Me,Florence + The Machine
2011-09-10,Cost Of Livin',Ronnie Dunn
2011-09-10,That Way,Wale Feat. Jeremih & Rick Ross
2011-09-10,Martians Vs Goblins,"Game Feat. Lil Wayne & Tyler, The Creator"
2011-09-17,Mirror,Lil Wayne Feat. Bruno Mars
2011-09-17,Love On Top,Beyonce
2011-09-17,Blunt Blowin,Lil Wayne
2011-09-17,Turn Me On,David Guetta Feat. Nicki Minaj
2011-09-17,Without You,David Guetta Feat. Usher
2011-09-17,Beautiful People,Chris Brown Feat. Benny Benassi
2011-09-17,Dancin' Away With My Heart,Lady Antebellum
2011-09-17,MegaMan,Lil Wayne
2011-09-17,My Body,Young The Giant
2011-09-17,Sexy And I Know It,LMFAO
2011-09-17,It's Good,Lil Wayne Feat. Drake & Jadakiss
2011-09-17,Good Feeling,Flo Rida
2011-09-17,How To Hate,Lil Wayne Feat. T-Pain
2011-09-17,Nightmares Of The Bottom,Lil Wayne
2011-09-17,President Carter,Lil Wayne
2011-09-17,So Special,Lil Wayne Feat. John Legend
2011-09-24,Mr. Know It All,Kelly Clarkson
2011-09-24,Wanted You More,Lady Antebellum
2011-09-24,Police Dog Blues,Hugh Laurie
2011-09-24,The Trouble With Girls,Scotty McCreery
2011-09-24,Disaster,JoJo
2011-09-24,All Your Life,The Band Perry
2011-09-24,Wet The Bed,Chris Brown Feat. Ludacris
2011-10-01,Paradise,Coldplay
2011-10-01,I Got Nothin',Darius Rucker
2011-10-01,Body And Soul,Tony Bennett & Amy Winehouse
2011-10-01,Let It Rain,David Nail Feat. Sarah Buxton
2011-10-01,Body 2 Body,Ace Hood Feat. Chris Brown
2011-10-01,Got 2 Luv U,Sean Paul Feat. Alexis Jordan
2011-10-01,You Don't Know Her Like I Do,Brantley Gilbert
2011-10-08,We Found Love,Rihanna Feat. Calvin Harris
2011-10-08,It's Not Unusual,Glee Cast
2011-10-08,You Can't Stop The Beat,Glee Cast
2011-10-08,Y.U. Mad,Birdman Feat. Nicki Minaj & Lil Wayne
2011-10-08,Fix A Heart,Demi Lovato
2011-10-08,Tattoos On This Town,Jason Aldean
2011-10-08,We Got The Beat,Glee Cast
2011-10-08,Drink In My Hand,Eric Church
2011-10-08,Unbroken,Demi Lovato
2011-10-15,Strange Clouds,B.o.B Feat. Lil Wayne
2011-10-15,It Will Rain,Bruno Mars
2011-10-15,When We Stand Together,Nickelback
2011-10-15,5 O'Clock,T-Pain Feat. Wiz Khalifa & Lily Allen
2011-10-15,Somewhere,Glee Cast
2011-10-15,Dedication To My Ex (Miss That),Lloyd Feat. Andre 3000 & Lil Wayne
2011-10-15,Fight For You,Jason Derulo
2011-10-15,After Midnight,Blink-182
2011-10-15,I Don't Want This Night To End,Luke Bryan
2011-10-15,Keep Me In Mind,Zac Brown Band
2011-10-15,Calling All The Monsters,China Anne McClain
2011-10-22,Crawling Back To You,Daughtry
2011-10-22,I Like It Like That,Hot Chelle Rae Feat. New Boyz
2011-10-22,Fix You,Glee Cast
2011-10-22,Hangover,Taio Cruz Feat. Flo Rida
2011-10-22,I'm Flexin',T.I. Feat. Big K.R.I.T.
2011-10-22,I Like How It Feels,Enrique Iglesias Feat. Pitbull & The WAV.s
2011-10-22,Run The World (Girls),Glee Cast
2011-10-22,Dance (A$$),Big Sean Feat. Nicki Minaj
2011-10-22,Party,Beyonce Feat. Andre 3000
2011-10-29,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Feat. Bruno Mars
2011-10-29,Heartbeat,The Fray
2011-10-29,Countdown,Beyonce
2011-10-29,Still Got It,Tyga Feat. Drake
2011-10-29,Good Good Night,Roscoe Dash
2011-10-29,Criminal,Britney Spears
2011-10-29,The One That Got Away,Katy Perry
2011-10-29,Domino,Jessie J
2011-10-29,Make Me Proud,Drake Feat. Nicki Minaj
2011-10-29,Lost In Paradise,Evanescence
2011-11-05,Mistletoe,Justin Bieber
2011-11-05,A Thousand Years,Christina Perri
2011-11-05,You The Boss,Rick Ross Feat. Nicki Minaj
2011-11-05,You,Chris Young
2011-11-05,Promise,Romeo Santos Feat. Usher
2011-11-05,Focused,Wale Feat. Kid Cudi
2011-11-12,Princess Of China,Coldplay Feat. Rihanna
2011-11-12,Red Solo Cup,Toby Keith
2011-11-12,Sweat,Bow Wow Feat. Lil Wayne
2011-11-12,Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber Feat. Usher
2011-11-12,Stronger (What Doesn't Kill You),Kelly Clarkson
2011-11-12,Shake It Out,Florence + The Machine
2011-11-12,Lotus Flower Bomb,Wale Feat. Miguel
2011-11-12,Lonely Boy,The Black Keys
2011-11-12,Lessons In Love,Kaskade Feat. Neon Trees
2011-11-12,Storm Warning,Hunter Hayes
2011-11-12,Bait A Hook,Justin Moore
2011-11-19,Party On Fifth Ave.,Mac Miller
2011-11-19,Last Friday Night,Glee Cast
2011-11-19,Ambition,Wale Feat. Meek Mill & Rick Ross
2011-11-19,All I Want For Christmas Is You (SuperFestive!),Justin Bieber Duet With Mariah Carey
2011-11-19,Blackout,Breathe Carolina
2011-11-19,Over You,Miranda Lambert
2011-11-19,Reality,Kenny Chesney
2011-11-19,Drummer Boy,Justin Bieber Feat. Busta Rhymes
2011-11-19,First Of The Year (Equinox),Skrillex
2011-11-26,If This Was A Movie,Taylor Swift
2011-11-26,Ours,Taylor Swift
2011-11-26,Superman,Taylor Swift
2011-11-26,Run,Matt Nathanson Feat. Sugarland
2011-11-26,Smile Back,Mac Miller
2011-11-26,Footloose,Blake Shelton
2011-11-26,Uptown Girl,Glee Cast
2011-11-26,Home,Dierks Bentley
2011-11-26,You Da One,Rihanna
2011-11-26,Come Home,Faith Hill
2011-12-03,Take Care,Drake Feat. Rihanna
2011-12-03,Rumour Has It / Someone Like You,Glee Cast
2011-12-03,The Motto,Drake Feat. Lil Wayne
2011-12-03,Levels,Avicii
2011-12-03,Hate Sleeping Alone,Drake
2011-12-03,You And  I / You And I,Glee Cast
2011-12-03,I Can't Go For That / You Make My Dreams,Glee Cast
